UID,currency,sales,quantity,year,month
b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,USD,181.94,2,2023,11
b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,USD,272.90999999999997,3,2023,11
b48c6d67-c31d-57d6-a99a-75e697b896c982156fab-51f4-51ca-b136-be5578e7ce64,USD,454.85,5,2023,11
b48c6d67-c31d-57d6-a99a-75e697b896c982156fab-51f4-51ca-b136-be5578e7ce64,USD,363.88,4,2023,11
88b8df6f-f2ef-5f79-9148-01672fec36eb88b8df6f-f2ef-5f79-9148-01672fec36eb,USD,400.0,2,2023,11
cb99a190-8320-57e5-8740-205024b05c87cb99a190-8320-57e5-8740-205024b05c87,USD,340.0,4,2023,11
cb99a190-8320-57e5-8740-205024b05c87cb99a190-8320-57e5-8740-205024b05c87,USD,425.0,5,2023,11
0b49a073-fd67-5bd4-8043-ec8c8061cf9e0b49a073-fd67-5bd4-8043-ec8c8061cf9e,USD,425.0,5,2023,11
d222955c-2b88-5099-8975-cfe7bfc54c3dd222955c-2b88-5099-8975-cfe7bfc54c3d,USD,405.0,3,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8dc1ebb1b-60c3-547e-a508-a08863d80518,USD,260.0,2,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8ce05c5ee-bc8c-5bc3-b356-f6ecf8394248,USD,260.0,2,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8ec28463c-e2b6-5841-9e40-77a7961acafc,USD,650.0,5,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8cfa8277f-561b-5c05-bb23-572c66dbfc8a,USD,130.0,1,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8cfa8277f-561b-5c05-bb23-572c66dbfc8a,USD,130.0,1,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d88a825151-cd2d-5785-bac9-96744521f35d,USD,260.0,2,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d85a42040d-48c1-52a0-95e4-6fff7013851f,USD,520.0,4,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d88c48735a-c504-57b0-bede-44dfcece99e7,USD,390.0,3,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d88c48735a-c504-57b0-bede-44dfcece99e7,USD,520.0,4,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d8ebfeef86-3dec-53d9-945b-3c15b5398c2a,USD,520.0,4,2023,11
5a2e67f0-39d2-595c-8e52-a2835ed2a7d87e25bbe3-7ae6-5570-85e1-5ddd3672a0dc,USD,260.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c80d27552b-a8e7-5c53-8998-8103775579c8,USD,800.0,5,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8bc19cc33-507d-536a-8e55-641d46eadbee,USD,480.0,3,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8c201c60e-cb8a-5eba-a210-a38ad0cfd561,USD,640.0,4,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8c201c60e-cb8a-5eba-a210-a38ad0cfd561,USD,160.0,1,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8348fea0b-e7b2-5297-aaf3-0f4fdad14332,USD,800.0,5,2023,11
0d27552b-a8e7-5c53-8998-8103775579c8df2456a4-2c31-5ef8-9b01-952b852818ba,USD,640.0,4,2023,11
0d27552b-a8e7-5c53-8998-8103775579c898488f65-bb6c-5c5e-af8c-73fead999871,USD,320.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c898488f65-bb6c-5c5e-af8c-73fead999871,USD,320.0,2,2023,11
0d27552b-a8e7-5c53-8998-8103775579c83ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,800.0,5,2023,11
515a7027-7c8f-5d12-a1c7-bca9759e83dc71661aca-f072-56e0-a809-ebf4008d9d1d,USD,315.0,3,2023,11
50119239-d34e-503d-be0b-caad7d08b86850119239-d34e-503d-be0b-caad7d08b868,USD,230.0,1,2023,11
50119239-d34e-503d-be0b-caad7d08b86850119239-d34e-503d-be0b-caad7d08b868,USD,460.0,2,2023,11
fc8c4a31-e699-5ace-a5bb-50d08ded4442df9fd56a-8e74-5f2b-94a1-6968f8a92b34,USD,270.0,3,2023,11
fc8c4a31-e699-5ace-a5bb-50d08ded4442df9fd56a-8e74-5f2b-94a1-6968f8a92b34,USD,90.0,1,2023,11
c781bb66-2844-5f31-88bb-d74b21bf3720c781bb66-2844-5f31-88bb-d74b21bf3720,USD,630.0,3,2023,11
c781bb66-2844-5f31-88bb-d74b21bf3720c781bb66-2844-5f31-88bb-d74b21bf3720,USD,420.0,2,2023,11
a6469ec7-ba76-53da-9a9e-68a0208950c0a6469ec7-ba76-53da-9a9e-68a0208950c0,USD,560.0,4,2023,11
a6469ec7-ba76-53da-9a9e-68a0208950c0a6469ec7-ba76-53da-9a9e-68a0208950c0,USD,560.0,4,2023,11
a6469ec7-ba76-53da-9a9e-68a0208950c0ff212199-bad1-5248-90e7-1cd57946a4f2,USD,280.0,2,2023,11
a6469ec7-ba76-53da-9a9e-68a0208950c0ff212199-bad1-5248-90e7-1cd57946a4f2,USD,560.0,4,2023,11
a6469ec7-ba76-53da-9a9e-68a0208950c057e613cf-a472-5fe9-a522-dbcaab1650ce,USD,280.0,2,2023,11
37bb4e31-932f-51da-a61b-7a3a25838f3acf3d36fb-4bee-5f49-b557-ed147f6575ac,USD,750.0,5,2023,11
3161f40f-b558-581d-b99a-40b4474791153161f40f-b558-581d-b99a-40b447479115,USD,760.0,4,2023,11
09d78b28-7ff3-5568-a3d2-6d26e4ed338c09d78b28-7ff3-5568-a3d2-6d26e4ed338c,USD,95.0,1,2023,11
09d78b28-7ff3-5568-a3d2-6d26e4ed338c09d78b28-7ff3-5568-a3d2-6d26e4ed338c,USD,380.0,4,2023,11
92f9cd9f-48d4-5e15-8e0c-7424c0c5c55792f9cd9f-48d4-5e15-8e0c-7424c0c5c557,USD,180.0,1,2023,11
92f9cd9f-48d4-5e15-8e0c-7424c0c5c55792f9cd9f-48d4-5e15-8e0c-7424c0c5c557,USD,900.0,5,2023,11
73f62dfb-8b36-52ec-861d-45a3fae720ee939cd755-3dcf-5b72-acd8-5187166b3290,USD,170.0,1,2023,11
d1536e5a-de73-5e90-bf57-8884444fa36ad1536e5a-de73-5e90-bf57-8884444fa36a,USD,640.0,4,2023,11
d1536e5a-de73-5e90-bf57-8884444fa36ad1536e5a-de73-5e90-bf57-8884444fa36a,USD,160.0,1,2023,11
