,ticket_id,UID,currency,sales,quantity,date
0,202311180408749,b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,USD,454.85,5,2023-11-18
1,202311180872442,b48c6d67-c31d-57d6-a99a-75e697b896c92237c3ab-9108-5cf3-9074-25829c55dda3,USD,272.90999999999997,3,2023-11-18
2,202311180960090,b48c6d67-c31d-57d6-a99a-75e697b896c9db588dcb-7ce3-5584-a038-20069691dc68,USD,181.94,2,2023-11-18
3,202311180104447,cb99a190-8320-57e5-8740-205024b05c87cb99a190-8320-57e5-8740-205024b05c87,USD,255.0,3,2023-11-18
4,202311180655378,0985e507-2bcf-50f2-bd1e-b33ffef0330d0985e507-2bcf-50f2-bd1e-b33ffef0330d,USD,185.0,1,2023-11-18
5,202311180659045,f00fe7db-7aa1-5bf4-b81d-778e2bc41635f00fe7db-7aa1-5bf4-b81d-778e2bc41635,USD,1050.0,5,2023-11-18
6,202311180492589,f00fe7db-7aa1-5bf4-b81d-778e2bc41635f00fe7db-7aa1-5bf4-b81d-778e2bc41635,USD,630.0,3,2023-11-18
7,202311180814327,d222955c-2b88-5099-8975-cfe7bfc54c3dd222955c-2b88-5099-8975-cfe7bfc54c3d,USD,135.0,1,2023-11-18
8,202311180588829,5a2e67f0-39d2-595c-8e52-a2835ed2a7d85a2e67f0-39d2-595c-8e52-a2835ed2a7d8,USD,650.0,5,2023-11-18
9,202311180708674,5a2e67f0-39d2-595c-8e52-a2835ed2a7d8908c2708-83c8-5a31-8fe9-280a70e77361,USD,390.0,3,2023-11-18
10,202311180765763,5a2e67f0-39d2-595c-8e52-a2835ed2a7d8dc1ebb1b-60c3-547e-a508-a08863d80518,USD,130.0,1,2023-11-18
11,202311180476199,5a2e67f0-39d2-595c-8e52-a2835ed2a7d85ce50274-a5ac-5158-b137-f9c31ee7d2ad,USD,650.0,5,2023-11-18
12,202311180897423,5a2e67f0-39d2-595c-8e52-a2835ed2a7d85ce50274-a5ac-5158-b137-f9c31ee7d2ad,USD,520.0,4,2023-11-18
13,202311180800510,5a2e67f0-39d2-595c-8e52-a2835ed2a7d8a5af0d29-a87e-52d8-8fe3-7544d2e0962e,USD,650.0,5,2023-11-18
14,202311180500767,5a2e67f0-39d2-595c-8e52-a2835ed2a7d8a5af0d29-a87e-52d8-8fe3-7544d2e0962e,USD,650.0,5,2023-11-18
15,202311180621255,5a2e67f0-39d2-595c-8e52-a2835ed2a7d87e25bbe3-7ae6-5570-85e1-5ddd3672a0dc,USD,390.0,3,2023-11-18
16,202311180203128,0d27552b-a8e7-5c53-8998-8103775579c80d27552b-a8e7-5c53-8998-8103775579c8,USD,160.0,1,2023-11-18
17,202311180482089,0d27552b-a8e7-5c53-8998-8103775579c80d27552b-a8e7-5c53-8998-8103775579c8,USD,320.0,2,2023-11-18
18,202311180722644,0d27552b-a8e7-5c53-8998-8103775579c8bc19cc33-507d-536a-8e55-641d46eadbee,USD,320.0,2,2023-11-18
19,202311180276870,0d27552b-a8e7-5c53-8998-8103775579c8bc19cc33-507d-536a-8e55-641d46eadbee,USD,320.0,2,2023-11-18
20,202311180410150,0d27552b-a8e7-5c53-8998-8103775579c83156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,800.0,5,2023-11-18
21,202311180673588,0d27552b-a8e7-5c53-8998-8103775579c83156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,480.0,3,2023-11-18
22,202311180288273,0d27552b-a8e7-5c53-8998-8103775579c8e1f21bed-d00d-5494-ba29-528897ad1409,USD,160.0,1,2023-11-18
23,202311180646767,0d27552b-a8e7-5c53-8998-8103775579c8e1f21bed-d00d-5494-ba29-528897ad1409,USD,480.0,3,2023-11-18
24,202311180083064,0d27552b-a8e7-5c53-8998-8103775579c8df2456a4-2c31-5ef8-9b01-952b852818ba,USD,480.0,3,2023-11-18
25,202311180231331,0d27552b-a8e7-5c53-8998-8103775579c83ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,480.0,3,2023-11-18
26,202311180661368,0d27552b-a8e7-5c53-8998-8103775579c83ae882d8-a6b9-5dde-aca1-85be7f93e08c,USD,480.0,3,2023-11-18
27,202311180912742,515a7027-7c8f-5d12-a1c7-bca9759e83dced032358-ec88-50cd-81e7-4be078ab5b88,USD,420.0,4,2023-11-18
28,202311180237926,515a7027-7c8f-5d12-a1c7-bca9759e83dc8938757d-db8e-5cde-8ddd-4de277e33bde,USD,105.0,1,2023-11-18
29,202311180954427,515a7027-7c8f-5d12-a1c7-bca9759e83dc8938757d-db8e-5cde-8ddd-4de277e33bde,USD,210.0,2,2023-11-18
30,202311180694627,66fcb439-40d9-5c7b-ab6f-44841e20c12766fcb439-40d9-5c7b-ab6f-44841e20c127,USD,510.0,3,2023-11-18
31,202311180219077,66fcb439-40d9-5c7b-ab6f-44841e20c12766fcb439-40d9-5c7b-ab6f-44841e20c127,USD,170.0,1,2023-11-18
32,202311180580416,a5079e06-b9b9-5811-a6f9-478d53619a5dacafd216-6a3e-590e-b105-0359ad159ab4,USD,600.0,4,2023-11-18
