,ticket_id,UID,currency,sales,quantity,date
0,202311200499113,dc9b9f80-c3a0-52a4-8490-5cde7685b583c7b99681-10be-523d-a218-780ada61af22,USD,520.0,4,2023-11-20
1,202311200214154,dc9b9f80-c3a0-52a4-8490-5cde7685b583c7b99681-10be-523d-a218-780ada61af22,USD,390.0,3,2023-11-20
2,202311200751260,b48c6d67-c31d-57d6-a99a-75e697b896c9b48c6d67-c31d-57d6-a99a-75e697b896c9,USD,454.85,5,2023-11-20
3,202311200990197,b48c6d67-c31d-57d6-a99a-75e697b896c982156fab-51f4-51ca-b136-be5578e7ce64,USD,181.94,2,2023-11-20
4,202311200152220,b48c6d67-c31d-57d6-a99a-75e697b896c982156fab-51f4-51ca-b136-be5578e7ce64,USD,363.88,4,2023-11-20
5,202311200695034,df6cefa7-649c-5ae2-a887-54ec459d43f1df6cefa7-649c-5ae2-a887-54ec459d43f1,USD,640.0,4,2023-11-20
6,202311200366839,d2a71d29-c76f-502c-a5cb-00427ba9a56ed2a71d29-c76f-502c-a5cb-00427ba9a56e,USD,100.0,1,2023-11-20
7,202311200610212,0985e507-2bcf-50f2-bd1e-b33ffef0330d0985e507-2bcf-50f2-bd1e-b33ffef0330d,USD,925.0,5,2023-11-20
8,202311200475751,0985e507-2bcf-50f2-bd1e-b33ffef0330d0985e507-2bcf-50f2-bd1e-b33ffef0330d,USD,370.0,2,2023-11-20
9,202311200382302,65463358-abbe-591b-b13f-49f03653830e65463358-abbe-591b-b13f-49f03653830e,USD,400.0,4,2023-11-20
10,202311200286588,85c763db-6e5c-5940-842a-fd896d0554ac85c763db-6e5c-5940-842a-fd896d0554ac,USD,200.0,1,2023-11-20
11,202311200127553,5a2e67f0-39d2-595c-8e52-a2835ed2a7d8908c2708-83c8-5a31-8fe9-280a70e77361,USD,390.0,3,2023-11-20
12,202311200762691,5a2e67f0-39d2-595c-8e52-a2835ed2a7d83b07ef9b-625b-52c0-8188-813c9504487e,USD,390.0,3,2023-11-20
13,202311200288334,5a2e67f0-39d2-595c-8e52-a2835ed2a7d88a825151-cd2d-5785-bac9-96744521f35d,USD,130.0,1,2023-11-20
14,202311200934164,5a2e67f0-39d2-595c-8e52-a2835ed2a7d88a825151-cd2d-5785-bac9-96744521f35d,USD,520.0,4,2023-11-20
15,202311200407406,0d27552b-a8e7-5c53-8998-8103775579c89d1c89d8-75c6-5b2a-816e-f11dedb6e43c,USD,480.0,3,2023-11-20
16,202311200787018,0d27552b-a8e7-5c53-8998-8103775579c83156e681-ec4d-50dd-b5ec-58d6ef0f9805,USD,160.0,1,2023-11-20
17,202311200892199,0d27552b-a8e7-5c53-8998-8103775579c8df2456a4-2c31-5ef8-9b01-952b852818ba,USD,800.0,5,2023-11-20
18,202311200629876,0d27552b-a8e7-5c53-8998-8103775579c8df2456a4-2c31-5ef8-9b01-952b852818ba,USD,160.0,1,2023-11-20
19,202311200836990,515a7027-7c8f-5d12-a1c7-bca9759e83dc71661aca-f072-56e0-a809-ebf4008d9d1d,USD,105.0,1,2023-11-20
20,202311200902485,515a7027-7c8f-5d12-a1c7-bca9759e83dc7e8712e5-c1ee-5d4a-a879-446afe7a9129,USD,315.0,3,2023-11-20
21,202311200296962,515a7027-7c8f-5d12-a1c7-bca9759e83dc7e8712e5-c1ee-5d4a-a879-446afe7a9129,USD,210.0,2,2023-11-20
22,202311200767048,b8d9308e-88de-5708-9425-24b2218d5317b8d9308e-88de-5708-9425-24b2218d5317,USD,630.0,3,2023-11-20
23,202311200518089,66fcb439-40d9-5c7b-ab6f-44841e20c12766fcb439-40d9-5c7b-ab6f-44841e20c127,USD,170.0,1,2023-11-20
24,202311200835031,a5079e06-b9b9-5811-a6f9-478d53619a5d1a5d9064-0bfb-50b0-906b-d2ab85e18fd4,USD,600.0,4,2023-11-20
25,202311200571320,50119239-d34e-503d-be0b-caad7d08b86850119239-d34e-503d-be0b-caad7d08b868,USD,1150.0,5,2023-11-20
26,202311200475341,9aba8d3c-8ca1-56e9-8e67-e0bcb7fd4414bdb56428-7201-585b-aa8b-5b344e9096d7,USD,640.0,4,2023-11-20
27,202311200041259,9aba8d3c-8ca1-56e9-8e67-e0bcb7fd4414bdb56428-7201-585b-aa8b-5b344e9096d7,USD,800.0,5,2023-11-20
28,202311200493709,fc8c4a31-e699-5ace-a5bb-50d08ded4442754e2337-9845-5d9a-8d18-caa3c9c7c2d0,USD,360.0,4,2023-11-20
29,202311200894690,fc8c4a31-e699-5ace-a5bb-50d08ded4442754e2337-9845-5d9a-8d18-caa3c9c7c2d0,USD,180.0,2,2023-11-20
